ID,n7HRing,nS,n6aHRing,SlogP_VSA11,NddssS,nG12FHRing,SlogP_VSA7,n7Ring,SMR_VSA6,GATS2pe,SLogP,n10FaRing,AATSC0pe,Xch-6dv,VSA_EState6,nBridgehead,JGI6,AATS2Z,ATSC6v,NddsN,ATSC6dv,EState_VSA9,Xch-6d,AATSC2v,nCl,AATSC0i,JGI10,NdS,JGT10,ATSC7v,VSA_EState7,FilterItLogS,n5Ring,Xc-5d,EState_VSA2,AATS1p,NaaCH,AATSC0d,GATS1pe,ATSC7p,Xc-5dv,C1SP3,NssssN,ATSC5p,AATS0v,n7aRing,n10FARing,nRing,ATSC2v,n10FRing,GATS1Z,Xch-3d,NdsN,nG12Ring,CIC0,ATSC4Z,GATS2d,nAromAtom,ATSC2dv,fMF,ATSC8dv,nFAHRing,Class
D0941,0,2,0,0,2,0,0,0,6.606881965,0.536003267,1.667,0,0.194424808,0.360266899,0,2,0.02782066,22.85789474,1344.507692,0,61.28836578,18.39367429,0.465657194,0.911603697,0,1.308973092,0.009476425,0,0.655015731,-24.70780719,-7.925856388,-0.64389317,1,1.34986797,42.93408905,1.742886496,0,0.815301041,0.750956373,-1.30265362,0.812865299,5,0,-0.660893671,199.9060234,0,0,5,173.2047023,0,0.808046298,0,0,0,4.971176254,178.7206881,1.373162571,0,180.7437252,0.244680851,-198.9443187,0,1
D0481,0,1,0,0,0,0,0,0,11.86154501,0.531776964,0.9407,0,0.160525208,0.595527198,5.073961892,0,0.021647419,24.95327103,-1228.076957,0,-111.6102523,5.106527395,1.062452512,0.066423715,0,1.504220344,0.008190138,0,0.509632132,331.45659,-0.418614906,-1.611174934,2,0.934229561,40.28453517,1.853123193,4,0.737514863,0.787910042,-0.152098094,0.369192825,3,0,-5.091352058,223.0331146,0,0,4,7.107337476,0,0.754930384,0,0,0,4.113970212,-15.59571938,1.220445479,6,60.17162109,0.362068966,-57.23503765,1,0
D0200,0,0,0,0,0,0,0,0,50.96170681,0.925119365,-2.016,0,0.189309141,0.015625,0,0,0.022975642,40.09375,-2477.030957,0,-45.87768271,10.21305479,0.037037037,5.103514888,0,1.568507093,0.006398294,0,0.526479927,-2430.700207,-2.421882158,-3.403727169,0,0.683620986,47.15910529,1.986902131,0,0.664819945,0.976149203,-33.88340903,0.52677105,7,0,-9.054004247,249.4465868,0,0,1,489.9374293,0,0.504871508,0,0,0,3.91468158,7168.01385,1.13912037,6,0.630495537,0.105263158,-79.75896584,0,0
D0635,0,0,0,0,0,0,0,0,0,0.532575205,0.7108,0,0.155519,0.280803508,6.735427454,0,0.022005324,25.29577465,49.03043701,0,-56.32330247,17.33460737,0.700170447,-4.732922928,1,1.489958582,0.00825596,0,0.494826298,247.3046684,0.848829314,-1.954665873,0,0.702657303,10.72932567,1.855980395,5,0.71,0.754222842,1.414612346,0.199086493,0,0,-1.853518301,234.3271731,0,0,3,-336.0375279,0,0.611036255,0,0,0,3.518872188,-20.35,1.237849633,6,27.38194444,0.425,22.02391975,1,1
D0863,0,0,0,0,0,0,5.022633314,0,5.316788604,0.461836281,1.7897,0,0.101124151,0.027777778,7.174992579,0,0.018833819,22.13207547,446.9510118,0,11.25102881,23.06827484,0.083333333,1.563943852,1,1.535712382,0.019249736,0,0.561900623,-359.2694658,0,-2.756110896,0,0,17.96094997,1.714065118,4,0.552800735,1.041500415,-0.747649278,0,2,0,-0.159132621,208.380838,0,0,1,82.88902418,0,0.704569447,0,2,0,3.444345099,14.80348944,1.340437535,6,24.84636488,0.181818182,14.23045267,0,0
D0652,1,0,0,0,0,1,5.022633314,1,0,0.676079352,4.32422,0,0.130548765,0.115547724,12.25246429,0,0.024388852,26.98461538,65.85250451,0,-23.85185185,11.60093989,0.371196697,2.797083543,1,2.218947173,0,0,0.401808335,227.4432908,1.807054516,-6.075702638,1,0.442375608,5.817220841,2.033773488,8,0.656635802,0.543282484,-0.532691059,0.130616485,2,0,-4.138339298,262.1763998,0,0,4,181.8104303,0,0.526161656,0,1,0,3.553312607,-96.77777778,1.036427732,17,14.13793629,0.555555556,-13.25880201,1,0
D0138,0,0,0,0,0,0,0,0,0,0.608147459,4.401,0,0.089232111,0.401619568,0,0,0.030358613,17.25210084,723.9809309,0,0,0,0.453541621,6.851261161,0,1.283169098,0,0,0.693640852,-456.5070359,9.113941536,-3.54143837,1,1.863447996,16.61322589,1.78690653,0,0.784438776,0.8512865,-2.792834007,1.375722775,3,0,1.484036958,188.1733409,0,0,4,815.3000782,0,1.031782388,0,0,0,4.589170596,-379.6875,1.930655189,0,1.1875,0.303571429,9.4375,0,1
D0490,0,1,1,5.749511833,1,0,0,0,39.33066399,0.773520542,2.07042,0,0.124234275,0.152914271,4.72297703,0,0.022798598,22.41269841,111.5879993,0,85.640955,4.736862954,0.441969723,5.927540457,0,1.538943956,0.007587476,0,0.50894411,-213.4453805,1.520792334,-5.761307519,1,1.028628375,16.27915487,1.777119796,3,0.662993572,0.657872333,-3.185439867,0.363873286,10,0,0.591268981,206.9362719,0,0,4,746.8700976,0,0.839632597,0,0,0,4.356843939,-173.9669421,1.043356747,15,166.3807775,0.333333333,-226.2524232,0,0
D0974,0,0,0,0,0,0,0,0,5.733667477,0.435422913,1.3532,0,0.114545087,0.059027778,7.314801587,0,0.033605442,19.88333333,246.4101318,0,13.80348944,5.733667477,0.142258898,1.777152911,0,1.461613222,0,0,0.60826804,-184.3794684,1.636976805,-3.438312006,0,0.458748653,11.81435946,1.797702145,4,0.668503214,0.748685874,-0.614112482,0.162192142,1,0,-1.190163693,209.7718041,0,0,2,106.6291747,0,0.856103653,0,0,0,3.51835504,-151.9908173,1.631868132,6,27.10192837,0.363636364,-11.98714417,0,0
D0464,0,0,1,0,0,1,5.022633314,1,13.08951281,0.942703674,4.0189,0,0.062324926,0.108072835,10.5933989,0,0.014538171,21.02531646,-2218.17455,0,-95.8208371,16.58491841,0.253436788,0.88464679,1,1.476472712,0,0,0.332177856,-311.8823874,6.191837111,-6.473327342,0,0.282360161,0,1.989633406,6,0.55800119,0.754770575,-1.526804574,0.115552177,2,0,-1.52633873,234.8295508,0,0,4,69.88709639,0,0.639924592,0,0,0,3.985884037,-20,1.073385334,12,12.66069579,0.512195122,48.84143037,1,1
